"E1" "N2" "RA3" "C4" "N5" "RE6" "O7" "A8" "A9" "RC10" "RN11" "O12" "E13" "C14" "RA15" "E16" "N17" "N18" "O19" "O20" "A21" "RC22" "N23" "RE24" "A25" "RC26" "RN27" "O28" "O29" "E30" "RA31" "O32" "C33" "RN34" "RE35" "RA36" "A37" "C38" "RO39" "E40" "C41" "RC42" "O43" "O44" "Satisfaction" "Score"
"253" 5 4 5 6 2 5 4 5 6 6 2 5 5 6 6 4 5 5 6 5 4 4 5 3 5 5 3 6 5 5 3 6 5 4 3 6 6 5 4 4 5 5 5 5 79 807.959034413083
"145" 7 5 1 6 4 3 3 3 6 4 7 3 4 5 3 5 7 5 5 5 3 4 4 5 4 2 3 7 4 4 3 3 4 5 4 4 4 4 5 4 5 4 5 7 73 629.063757714329
"237" 4 3 5 2 2 4 4 2 5 6 5 4 3 4 4 4 4 1 3 5 5 4 4 4 5 7 7 4 5 4 4 4 5 3 3 7 5 4 3 4 5 4 4 4 1 26.4050479370926
"25" 5 2 7 6 2 1 5 7 7 7 4 5 6 7 7 6 2 1 5 6 7 7 5 7 6 7 4 6 6 7 7 6 7 3 7 7 6 7 4 6 5 7 6 6 95 1187.81865253038
"179" 5 2 7 6 2 1 5 7 7 7 4 5 7 7 7 6 2 1 5 6 7 7 5 7 6 7 4 6 6 7 7 6 7 3 7 7 6 7 4 6 5 7 6 6 24 301.228359382488
"233" 4 2 5 6 2 4 4 5 7 7 6 3 5 7 4 5 1 4 3 4 5 1 4 4 6 7 NA 2 3 3 2 1 5 NA 7 5 7 7 1 7 NA NA NA NA 5 66.9882993000273
"121" 6 1 2 7 1 NA 7 7 7 5 1 7 1 7 7 7 6 7 7 7 7 7 7 2 4 7 2 7 7 7 7 7 7 1 7 4 7 7 2 6 NA 6 7 5 20 251.863622328388
"255" 4 1 4 7 1 7 7 7 11 6 1 7 7 7 7 7 1 2 1 7 7 7 1 7 7 7 1 1 7 5 7 1 4 1 7 7 7 7 7 7 6 1 7 1 73 819.141083816535
"188" 6 2 7 5 1 2 5 6 6 6 4 6 6 7 7 6 4 2 6 5 7 6 5 6 4 7 3 5 4 3 6 5 6 5 4 6 6 6 6 5 5 5 6 4 74 835.619791613227
"162" 7 1 2 7 1 2 4 7 7 3 5 5 7 7 7 7 1 1 5 7 6 2 5 7 7 7 5 5 5 7 7 5 7 6 3 7 7 7 4 6 6 4 6 5 58 629.039575744284
"76" 5 2 4 6 1 4 6 5 6 6 1 4 6 7 6 5 4 2 6 6 6 5 6 3 3 7 1 6 5 6 2 4 7 1 5 7 6 6 5 6 7 3 6 1 10 129.020561776637
"69" 5 2 7 6 2 1 6 6 7 6 3 5 6 6 7 5 2 2 7 5 7 7 7 2 7 7 1 7 4 4 1 7 7 2 3 7 6 6 7 4 6 3 7 7 22 256.161714283119
"148" 5 2 5 6 1 1 6 3 6 7 5 6 5 7 7 6 3 5 6 6 3 6 6 4 4 7 3 5 4 7 1 5 7 2 4 5 3 7 6 6 6 3 6 6 72 861.378824347398
"150" 2 1 7 7 1 1 7 7 7 7 3 4 7 7 7 7 4 1 6 7 6 7 6 1 7 7 1 7 7 7 7 7 7 1 6 7 7 7 2 5 7 6 7 6 96 1236.37356478291
"83" 7 3 6 5 1 4 7 6 7 6 2 4 6 7 5 6 2 3 6 7 3 7 7 7 5 7 3 7 6 7 2 7 7 2 6 7 6 7 7 7 6 7 5 3 20 258.823262797863
"107" 5 7 3 4 1 6 3 6 6 1 5 1 2 6 2 1 4 2 3 3 7 5 2 1 1 5 2 3 3 3 1 2 6 4 1 3 5 5 7 1 4 1 5 5 24 210.608243692908
"160" 2 1 3 6 4 6 5 4 6 7 5 1 5 6 7 3 3 1 5 3 3 7 4 7 5 7 3 4 4 4 3 4 5 3 3 7 6 6 6 3 6 4 5 4 3 47.590688570054
"105" 7 1 4 5 3 1 7 7 7 6 4 6 7 7 7 7 1 6 6 7 6 3 7 2 5 7 3 6 5 7 3 5 7 2 7 3 5 6 4 5 7 6 6 5 14 173.343147294292
"244" 5 5 3 5 4 5 3 5 6 3 4 6 5 5 4 4 4 3 3 3 4 4 4 5 7 6 5 4 4 4 7 3 5 4 6 7 6 4 3 5 4 4 4 1 61 545.373774331942
"173" 2 3 6 6 3 2 5 6 6 6 3 4 6 6 4 6 2 2 6 6 4 7 7 1 1 1 4 7 4 4 6 3 7 4 3 7 6 7 6 6 6 6 4 2 53 595.049329437383
"47" 3 1 7 6 1 5 5 6 6 4 2 5 6 6 7 6 1 2 6 5 2 3 5 4 6 7 2 3 3 6 3 2 7 2 4 7 6 6 6 6 5 7 6 4 53 590.01866348295
"261" 4 2 5 5 2 4 2 2 6 5 2 6 7 7 4 5 3 2 4 5 5 4 4 5 6 6 4 6 4 5 4 4 6 3 5 6 5 5 5 4 5 5 5 6 47 501.399563318335
"29" 3 4 7 4 4 2 4 5 3 4 5 6 5 6 7 2 4 3 5 5 7 5 4 2 5 6 4 5 5 3 2 5 6 4 2 4 6 3 5 2 2 4 6 4 97 857.780039204213
"128" 4 1 7 6 1 1 4 4 7 7 1 3 6 7 7 4 4 2 6 3 6 6 4 6 5 7 3 6 4 5 6 5 7 2 5 6 6 5 4 5 7 5 6 2 9 112.440290530578
"48" 6 4 4 4 2 4 6 5 5 3 5 4 4 6 5 5 4 2 5 4 3 4 4 5 3 6 4 4 4 3 5 2 5 3 4 4 4 4 5 4 4 5 4 1 7 78.2276143013229
"46" 3 1 7 1 1 1 6 5 6 6 2 6 6 6 7 5 2 2 6 6 7 2 7 2 3 7 2 7 7 6 6 7 7 1 5 7 7 7 1 6 7 7 6 4 89 958.10813675386
"66" 4 3 3 6 2 2 5 6 6 6 2 5 6 6 6 5 2 4 5 5 6 6 6 3 2 7 3 6 6 5 5 4 6 2 3 6 6 6 3 4 5 6 5 2 11 138.085213659373
"241" 2 3 5 7 7 1 4 5 6 6 3 4 4 7 7 4 4 2 5 5 5 4 5 1 7 7 2 4 4 4 4 4 7 4 2 7 5 6 7 4 5 6 4 1 95 1100.28386916038
"27" 5 4 6 2 2 5 4 3 5 4 2 5 5 5 6 5 2 4 4 5 5 5 4 5 6 5 4 4 4 4 5 4 6 3 4 5 5 3 6 4 5 4 5 4 24 221.736228742694
"62" 6 2 6 7 1 2 7 6 7 2 4 7 7 6 3 7 6 6 7 7 5 1 7 2 7 2 2 6 6 6 3 6 6 2 6 6 6 7 2 7 6 2 6 5 63 556.907616466528
"232" 7 1 2 7 1 7 7 7 7 7 1 7 5 7 6 5 1 1 5 7 7 7 3 5 7 7 1 5 5 4 7 5 7 1 7 7 6 7 7 7 7 7 7 1 79 1048.69447698338
"147" 4 2 5 5 1 2 7 6 7 6 1 7 7 7 7 6 1 4 7 7 1 7 5 4 2 7 1 7 7 7 3 6 7 2 7 7 7 6 7 7 7 4 7 5 83 997.088782987692
"136" 1 2 3 5 1 7 4 4 4 6 2 6 3 5 7 4 3 1 5 7 6 7 7 2 1 7 1 7 7 7 1 7 7 2 2 6 6 7 7 3 7 7 7 6 33 414.464820297403
"112" 3 7 7 3 2 2 6 7 7 6 1 5 6 4 5 4 3 1 7 7 7 4 4 1 1 7 1 5 6 7 5 1 7 1 2 7 6 7 6 5 6 4 7 6 64 666.212791406257
"88" 3 2 5 6 1 5 6 6 6 7 3 6 7 6 7 6 4 2 6 6 6 7 6 4 4 7 3 6 6 6 6 3 7 2 6 6 6 6 7 7 6 6 6 4 72 885.446696438303
"276" 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 1 1 7 7 1 7 7 1 1 7 1 7 7 4 1 7 7 1 7 7 7 7 7 1 7 4 7 1 55 614.678034565375
"22" 1 6 4 6 4 7 6 1 5 5 6 5 6 7 7 1 7 6 6 6 4 2 5 2 4 7 4 6 6 4 2 6 6 4 1 7 6 6 5 1 5 6 6 3 48 516.987177132571
"196" 7 2 2 7 1 6 7 7 7 7 1 7 5 7 6 5 1 1 5 5 7 6 3 5 7 7 1 5 5 4 7 5 7 1 7 7 6 6 7 6 7 7 6 2 42 547.045058786789
"28" 5 3 7 7 2 3 6 5 6 6 5 3 5 7 7 6 5 2 7 7 7 3 7 7 3 7 4 7 5 6 4 7 7 1 6 6 6 7 6 6 5 7 7 4 47 565.653463000669
"138" 5 2 4 6 2 2 5 5 6 4 3 4 6 6 6 6 2 3 5 5 6 3 3 6 4 5 2 5 4 5 6 5 6 3 4 6 6 5 4 5 5 3 5 5 36 353.588918484698
"192" 5 6 6 6 1 5 6 6 7 7 5 6 7 6 6 4 7 1 7 7 6 5 1 4 6 7 2 7 6 6 6 6 7 2 3 2 6 6 2 6 6 6 7 1 92 1091.06334168784
"101" 1 1 5 5 6 3 4 5 6 5 5 4 5 6 7 5 4 3 7 7 3 4 5 5 5 6 3 4 6 7 5 3 5 4 3 5 4 5 5 1 5 5 5 1 97 970.451418512867
"183" 6 2 6 6 1 2 4 7 7 6 3 6 7 7 7 6 4 1 7 5 7 6 6 6 4 6 3 5 5 3 6 5 6 5 4 6 6 6 6 5 5 5 6 4 92 1038.40015433738
"21" 4 3 3 6 4 3 4 6 6 6 5 4 5 5 6 4 3 2 5 3 4 2 5 5 2 7 3 6 5 5 6 4 6 3 4 6 6 4 6 4 5 5 4 4 70 703.527224102819
"99" 6 3 6 6 2 3 5 6 6 5 3 6 7 7 6 6 4 1 6 6 7 7 7 5 6 7 5 6 6 6 7 3 6 3 2 7 7 6 6 6 6 4 6 5 96 1096.55287964717
"9" 3 3 6 5 2 2 3 6 4 5 2 4 4 6 7 5 3 3 5 5 4 4 4 4 3 6 3 4 4 4 2 5 6 3 3 6 6 5 4 3 5 5 6 3 80 821.26736236428
"72" 3 3 7 5 1 3 6 7 5 4 3 5 5 6 7 5 1 1 5 5 5 5 6 4 5 7 3 4 5 5 7 4 6 1 4 7 6 7 6 7 5 2 6 3 22 236.603105093662
"77" 4 1 7 7 1 1 6 7 7 1 2 7 7 7 4 7 1 1 7 7 1 6 7 7 1 7 1 1 4 7 7 7 7 1 6 7 7 7 7 7 7 7 7 7 91 1091.70927906575
"170" 6 2 6 5 1 2 7 6 7 6 2 4 7 7 5 7 2 1 7 7 6 2 5 6 2 7 6 6 5 6 6 6 6 2 6 7 2 6 7 7 6 5 6 6 51 567.734439067961
"123" 6 2 6 7 1 3 7 7 6 7 2 4 6 6 7 7 3 1 6 6 7 7 7 1 5 7 2 7 7 6 3 7 7 1 3 7 7 7 6 5 4 6 3 7 33 405.10631223015
"16" 3 4 7 6 3 1 5 4 7 5 2 5 6 6 7 2 5 3 7 5 5 6 4 6 5 7 2 6 6 4 2 5 6 2 5 6 5 5 6 2 6 4 7 5 71 783.790878360587
"265" 1 1 7 7 1 1 4 7 11 6 1 6 4 7 7 4 3 2 4 4 7 7 4 1 6 7 1 7 4 4 6 7 7 4 1 7 7 5 4 4 7 4 6 1 53 624.228005960653
"37" 2 3 6 6 1 4 6 3 5 7 4 7 5 6 6 5 1 1 7 6 1 4 6 3 4 7 2 1 6 5 2 1 7 1 2 5 6 5 7 1 5 2 6 3 13 151.956594387527
"17" 2 3 6 5 2 2 4 6 6 4 4 3 3 6 6 4 6 2 3 5 6 7 6 1 5 6 4 5 3 4 1 4 6 4 1 4 6 6 5 1 6 7 4 2 8 91.4622889822768
"125" 3 5 4 7 2 1 7 6 6 6 1 2 5 7 7 7 2 1 7 7 4 5 6 5 6 7 1 5 7 7 2 6 7 1 4 7 7 7 3 4 6 5 7 7 72 872.987105653398
"24" 3 2 6 6 3 2 6 7 5 6 3 2 6 7 5 7 3 2 5 6 7 6 4 5 3 6 4 6 5 5 5 6 7 2 5 5 6 6 5 4 6 6 6 5 76 903.999820163081
"235" 6 2 6 6 1 4 2 6 6 5 2 6 6 6 7 6 1 1 4 5 6 3 3 7 7 7 2 7 3 5 7 1 3 2 6 7 7 5 7 4 4 2 5 7 63 582.934507425085
"55" 4 4 2 6 3 2 6 5 5 4 3 4 5 6 5 4 5 4 6 5 6 4 5 3 5 6 5 3 5 5 3 6 6 2 2 4 6 5 4 4 5 2 6 5 43 419.752745417836
"54" 3 2 2 6 1 1 6 7 6 3 3 6 6 7 6 6 4 2 5 4 6 3 7 2 2 7 2 6 5 6 2 5 7 3 5 6 6 6 3 5 3 3 6 3 13 141.554995527641
"74" 2 4 7 5 4 4 5 5 2 6 6 2 6 6 2 6 6 5 6 6 2 3 6 5 1 1 6 5 5 7 2 7 7 2 2 7 4 6 7 2 6 7 6 2 90 923.1615761355
"187" 7 2 7 6 1 4 7 6 6 6 2 5 6 7 7 6 4 3 7 7 7 7 7 7 5 7 2 7 6 6 3 4 6 2 5 6 6 7 5 7 6 6 6 1 68 838.969249693373
"127" 2 1 7 5 1 3 6 6 5 NA 4 6 5 6 6 5 2 2 6 6 2 5 5 4 3 7 2 6 6 5 6 6 5 3 6 6 6 5 5 5 NA 5 5 6 85 901.194665971501
"129" 3 3 7 7 1 7 6 7 6 4 7 7 5 7 7 5 6 1 5 5 7 5 6 5 5 7 6 7 7 7 7 1 7 1 2 7 7 7 7 4 6 3 5 4 64 713.746924950312
"268" 5 3 4 5 1 4 4 6 6 6 2 5 5 6 6 5 2 2 5 5 5 4 2 3 5 6 2 5 4 3 5 5 5 3 6 6 6 5 6 5 5 3 4 4 61 610.748523043454
"167" 6 3 6 4 1 2 7 6 7 5 1 4 5 7 7 6 4 1 6 6 6 4 4 7 7 5 1 5 6 5 6 2 5 2 5 7 7 6 6 6 2 4 6 2 81 750.567710007768
"11" 4 2 6 5 2 2 4 4 6 3 5 5 6 6 5 4 4 5 5 5 2 3 5 7 4 6 4 5 4 4 3 3 6 4 6 5 5 6 5 6 3 3 4 3 28 268.904607690785
"195" 3 2 6 2 3 2 2 4 6 6 2 3 2 2 2 4 3 3 2 3 6 6 3 3 4 4 6 3 3 2 3 3 4 2 3 4 3 6 5 5 5 3 6 3 61 530.642353324055
"186" 5 5 5 4 4 5 4 5 5 4 4 5 5 5 6 5 3 3 5 4 6 6 3 4 3 6 4 6 4 3 3 2 5 5 4 6 4 4 4 3 4 7 5 6 24 245.246378200755
"19" 2 3 6 2 2 2 6 7 7 7 2 1 7 7 7 7 1 6 6 6 7 7 7 1 1 2 1 6 6 6 7 6 7 1 7 7 7 6 3 6 7 2 6 6 85 865.491690494003
"50" 3 6 5 7 4 2 6 6 5 1 4 5 5 7 7 7 5 2 NA NA 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA 5 6 NA NA 6 81 798.402612940176
"118" 5 6 3 5 3 5 6 6 6 4 1 4 7 6 1 6 3 6 6 6 5 3 5 2 4 2 2 5 6 6 3 4 6 2 3 6 6 6 5 6 6 5 6 4 14 151.236728788574
"49" 3 2 6 6 2 1 4 5 5 7 2 4 5 7 7 4 1 1 6 4 6 5 4 4 4 7 1 7 6 2 4 6 7 2 2 7 7 7 6 2 5 7 7 5 93 1138.73024207864
"34" 3 1 7 4 1 7 3 3 4 5 4 2 4 7 7 3 1 3 4 4 4 4 5 4 3 7 5 3 3 4 3 NA 5 3 4 7 5 4 5 3 5 6 5 2 26 276.771375636193
"51" 5 2 3 7 1 4 6 6 6 6 1 5 6 7 5 6 1 1 6 7 6 6 4 5 5 5 2 2 2 5 5 1 7 1 6 7 7 4 7 7 3 3 6 2 89 932.80148473337
"73" 4 4 7 7 3 1 6 7 7 7 1 6 7 7 6 7 2 2 5 6 6 7 5 1 4 7 2 4 6 6 7 4 7 1 2 7 7 1 4 5 7 5 7 4 50 584.468761457664
"275" 4 4 4 5 4 4 5 5 5 5 4 5 5 6 4 6 4 4 5 5 5 4 4 4 5 4 3 6 5 5 4 6 6 3 4 4 5 5 4 4 5 4 5 4 38 378.011357831024
"134" 6 2 5 5 2 2 6 6 6 6 3 6 5 6 6 6 2 4 6 6 5 5 6 3 NA 6 3 6 6 6 4 6 5 3 6 6 6 6 5 6 6 5 6 5 64 694.799742968617
"157" 3 3 7 7 3 1 6 7 7 4 2 6 5 6 7 6 5 3 6 6 1 1 7 2 6 6 2 2 6 6 6 3 7 2 3 7 5 7 5 4 6 2 6 5 29 292.281372457232
"87" 5 4 4 5 1 4 5 6 6 6 3 5 6 7 6 6 3 2 7 4 5 2 7 6 4 7 3 6 4 7 7 4 7 2 4 7 6 6 6 5 6 5 6 5 27 307.708544520474
"81" 3 2 6 7 2 1 7 7 7 4 1 3 7 7 5 7 2 4 7 7 7 7 7 4 7 7 1 7 7 7 4 6 7 1 4 7 7 7 2 7 7 6 6 7 52 646.781593173538
"190" 5 1 6 6 1 1 5 7 7 6 4 5 6 7 7 6 2 1 5 6 7 6 5 7 6 7 4 6 6 7 7 5 7 2 7 7 6 7 4 5 5 7 6 6 94 1148.49152116405
"32" 3 2 6 5 3 1 6 6 6 2 4 5 5 7 2 6 6 6 6 7 6 7 6 2 6 7 3 7 7 7 5 7 7 2 7 7 7 7 6 7 6 5 7 7 35 399.691164691962
"171" 4 3 4 7 2 3 4 7 6 5 3 5 4 6 6 5 2 2 4 4 6 3 7 2 5 5 4 3 4 6 4 4 6 4 3 4 4 7 6 3 6 6 4 5 19 214.646581158227
"59" 5 5 5 5 4 5 4 5 5 4 4 5 5 5 6 5 3 3 5 4 6 6 3 4 3 6 4 6 4 3 3 2 5 5 4 6 4 4 4 3 4 6 5 6 24 241.248721904432
"100" 3 4 4 4 4 4 3 4 4 5 3 4 5 5 5 5 5 4 4 5 5 6 4 3 4 6 4 6 4 4 4 2 5 4 3 6 5 5 6 2 2 3 4 2 31 290.520023405179
"159" 7 1 2 7 1 7 7 7 7 7 1 7 5 7 6 5 1 1 5 7 7 7 3 5 7 7 1 5 5 4 7 5 7 1 7 7 6 7 7 7 7 7 7 1 55 728.934662980973
"149" 4 1 7 6 1 1 6 6 5 7 2 6 7 6 7 6 1 2 7 6 7 6 6 7 6 7 2 6 6 6 3 7 7 1 7 7 6 6 7 5 4 7 7 4 90 1073.25447030034
"180" 5 1 7 6 1 1 5 7 7 7 4 5 7 7 7 6 2 1 6 6 7 7 6 7 6 6 3 6 6 7 7 5 7 2 6 6 6 7 4 6 5 6 6 7 20 248.504842837875
"166" 4 4 3 5 2 4 6 5 5 5 5 4 5 6 4 4 3 3 5 5 4 5 5 4 4 5 4 5 6 5 5 4 5 4 4 6 4 3 5 4 4 5 5 3 60 575.884297099324
"258" 6 6 2 6 2 6 6 7 6 6 5 6 6 7 2 6 6 6 6 5 5 2 6 5 6 6 5 4 5 6 4 4 6 3 6 2 6 6 2 6 6 2 6 4 87 892.376557126078
"116" 6 2 2 7 1 2 6 7 7 7 2 2 7 7 7 7 1 1 5 6 1 7 6 6 3 7 1 7 7 7 1 5 7 2 7 7 7 7 7 7 7 6 5 3 27 367.539570715601
"12" 4 1 7 6 1 1 5 6 7 5 5 6 5 7 7 5 4 5 6 5 4 4 6 4 5 7 4 5 5 3 4 4 7 4 6 5 7 6 7 5 5 5 7 1 95 1053.98988073195
"140" 4 4 6 6 1 3 7 7 7 3 3 5 4 7 6 7 5 4 5 4 7 1 5 3 6 7 3 7 6 5 6 4 3 4 6 7 4 6 NA NA 4 3 5 4 12 113.809843432413
"286" 2 4 7 6 6 2 2 7 6 7 2 7 3 7 7 4 1 1 4 3 6 5 4 2 7 5 1 7 4 3 7 7 6 1 1 7 6 5 4 3 6 6 5 4 95 1064.41457932972
"92" 4 3 6 7 1 1 6 7 7 6 1 5 6 7 7 6 3 1 7 6 5 7 6 4 6 7 2 7 7 6 4 7 7 1 3 7 7 7 1 7 7 3 7 5 51 624.280624816126
"262" 4 2 6 6 2 5 5 5 5 6 4 5 4 7 6 4 3 2 5 5 3 6 2 4 4 5 1 5 3 5 4 4 6 2 5 6 5 6 5 5 6 6 5 4 30 359.339484011986
"23" 5 1 6 6 1 7 6 3 5 5 3 2 5 7 6 5 2 1 6 6 5 7 7 5 2 7 5 4 4 5 4 4 6 3 6 7 6 6 6 5 7 5 6 4 53 641.733019220928
"243" 3 1 6 7 1 6 3 5 7 7 1 5 5 7 6 6 1 3 2 5 5 6 1 3 7 7 1 1 6 4 6 1 7 2 7 7 6 6 2 6 6 7 4 1 38 487.438178881021
"35" 2 2 6 4 4 2 5 6 7 4 3 7 5 6 7 4 1 1 5 4 5 6 4 1 6 7 1 7 4 4 5 7 5 3 1 7 7 4 6 3 5 5 6 7 44 438.753939824113
"113" 2 4 4 5 3 2 6 4 5 7 1 6 7 7 4 2 3 7 7 6 2 6 3 1 3 7 1 4 6 1 1 3 7 1 1 4 4 7 7 4 6 7 6 1 49 616.769966539194
"41" 2 5 7 5 3 1 6 6 4 4 4 6 3 6 7 2 6 2 5 5 2 2 7 3 2 6 3 4 6 3 5 1 6 3 2 7 6 4 7 5 5 2 6 2 76 671.034187976383
"124" 3 3 4 6 1 2 4 6 6 6 3 5 6 7 7 6 4 3 7 6 6 4 6 2 4 7 2 4 5 5 2 3 7 3 3 6 6 6 5 4 5 4 5 5 74 826.843316050126
"184" 7 2 7 6 2 2 4 7 7 7 3 6 7 6 7 6 4 2 7 4 6 6 6 6 4 7 3 5 5 3 7 5 7 5 4 7 6 6 7 4 5 5 6 4 24 279.897976800206
"229" 3 2 6 6 NA NA 2 4 6 6 2 2 2 2 2 3 3 3 2 3 6 5 2 4 4 4 5 3 3 3 4 3 3 2 3 1 3 6 5 5 6 3 6 3 40 373.828681228467
"108" 6 4 3 5 5 6 4 6 5 2 6 6 6 7 5 5 5 5 5 4 6 2 5 6 5 5 4 4 4 6 6 4 7 3 6 6 4 6 6 6 6 2 6 3 5 61.6635385850684
"80" 2 2 7 5 4 1 5 7 4 4 2 6 7 7 3 6 1 2 6 7 2 7 7 1 2 7 7 3 3 1 1 5 7 2 2 7 6 6 3 5 6 4 2 5 59 671.708695816812
"189" 5 2 7 7 2 3 6 5 6 7 5 3 5 7 7 6 6 2 7 7 6 4 7 7 4 7 4 7 5 6 4 7 7 3 6 6 6 7 6 6 5 7 7 4 73 895.784805363559
"42" 6 2 6 7 1 4 5 4 5 5 3 4 5 7 6 7 2 2 5 3 4 6 6 3 3 6 3 7 4 6 4 6 6 2 4 5 6 6 6 6 7 4 7 3 34 404.102985532589
"86" 5 7 7 6 6 1 4 7 7 4 1 4 4 7 7 7 3 1 5 4 1 4 7 3 7 4 1 7 5 7 4 4 7 1 3 7 7 7 3 7 4 3 7 4 94 939.504260328372
"284" 4 2 6 7 6 3 5 6 4 2 2 5 5 7 4 7 6 7 4 6 6 2 6 4 7 4 1 6 5 7 7 7 7 1 7 7 7 7 7 7 7 2 1 7 20 202.409018497445
"20" 2 3 4 6 1 7 4 4 5 4 2 6 6 5 5 5 3 1 5 6 6 5 6 6 5 7 2 6 4 3 5 5 6 3 6 7 5 4 7 2 5 6 5 3 50 532.236479492389
"90" 6 2 5 6 1 5 6 6 6 3 4 7 6 6 6 6 4 2 6 6 7 5 6 6 5 7 3 7 6 6 7 6 6 2 6 7 1 6 4 6 5 7 6 3 89 980.299129061543
"282" 6 1 7 7 1 7 1 7 11 7 3 7 7 7 2 7 1 1 6 5 7 7 5 7 7 7 1 7 3 5 7 4 6 2 7 7 7 7 2 7 7 7 4 4 30 394.344909930597
"84" 6 3 7 7 2 1 6 6 7 6 4 5 6 7 4 5 5 4 6 6 4 7 7 5 4 7 4 5 5 6 3 5 7 3 4 7 7 7 7 4 7 6 5 4 92 1176.35529873189
"177" 7 4 6 7 2 2 7 7 6 5 4 7 3 7 7 7 3 1 6 7 4 1 5 4 1 7 1 3 4 7 6 4 5 1 1 6 7 6 7 5 4 1 7 6 10 105.863303832134
"102" 5 2 6 6 1 1 4 5 6 4 4 7 6 7 2 3 6 4 5 5 3 5 7 4 6 7 3 5 3 5 2 3 7 2 5 6 5 6 6 NA 6 5 7 4 76 862.927896157593
"245" 7 6 4 6 6 4 5 5 7 3 3 6 5 5 2 7 5 4 3 5 6 2 4 7 6 5 2 4 5 2 5 5 6 2 6 5 6 5 2 6 5 6 5 5 62 590.91575696734
"272" 5 7 6 7 5 4 1 7 6 4 4 4 3 7 7 4 5 6 7 1 7 1 7 4 7 4 4 5 4 4 4 4 4 4 3 7 7 4 1 4 1 4 1 1 59 471.88174750329
"71" 1 3 7 7 3 1 5 6 7 6 2 2 5 7 7 4 4 2 6 6 3 6 6 6 6 6 3 6 4 4 3 6 6 3 5 7 7 6 2 2 5 4 5 6 71 800.783578177147
"198" 6 1 2 7 2 7 7 7 7 6 1 7 5 7 6 5 1 2 5 7 7 7 3 4 6 7 1 6 5 5 7 5 7 1 6 6 6 6 6 7 6 7 6 1 21 277.369924579104
"251" 6 1 4 6 1 5 4 6 6 7 2 4 6 7 4 6 1 1 4 4 5 4 4 5 6 7 4 2 4 4 7 4 6 2 7 7 6 4 5 5 4 6 4 1 81 894.618191928476
"144" 1 4 7 5 1 1 5 NA 7 4 3 4 6 7 7 5 4 1 5 5 4 6 6 4 5 7 3 5 5 5 3 3 6 3 4 7 7 7 7 4 5 5 7 4 31 348.736117791536
"185" 7 2 7 5 2 5 7 6 7 6 2 5 6 7 7 7 3 3 7 6 7 6 6 7 5 7 1 7 6 6 3 3 7 2 5 7 7 7 5 7 6 5 5 2 5 71.5331848398891
"240" 6 2 7 6 1 NA 4 6 7 7 2 2 6 6 4 6 2 3 4 4 6 6 3 6 5 6 1 6 4 5 4 3 5 3 5 5 5 5 5 6 5 4 5 3 73 797.050077221297
